category,count,remark,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,54618,,,,,,,,,,,,,,,,,,,,,,,,
Food,24777,,,,,,,,,,,,,,,,,,,,,,,,
Bars,10563,,,,,,,,,,,,,,,,,,,,,,,,
Sandwiches,6345,,,,,,,,,,,,,,,,,,,,,,,,
Fast Food,6280,,,,,,,,,,,,,,,,,,,,,,,,
American (Traditional),6097,,,,,,,,,,,,,,,,,,,,,,,,
Pizza,6067,,,,,,,,,,,,,,,,,,,,,,,,
Coffee & Tea,5936,,,,,,,,,,,,,,,,,,,,,,,,
Italian,4662,,,,,,,,,,,,,,,,,,,,,,,,
Burgers,4558,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast & Brunch,4497,,,,,,,,,,,,,,,,,,,,,,,,
Mexican,4105,,,,,,,,,,,,,,,,,,,,,,,,
Chinese,3987,,,,,,,,,,,,,,,,,,,,,,,,
American (New),3979,,,,,,,,,,,,,,,,,,,,,,,,
Specialty Food,3966,,,,,,,,,,,,,,,,,,,,,,,,
Bakeries,3261,,,,,,,,,,,,,,,,,,,,,,,,
Cafes,3039,,,,,,,,,,,,,,,,,,,,,,,,
Desserts,2661,,,,,,,,,,,,,,,,,,,,,,,,
Massage,2351,,,,,,,,,,,,,,,,,,,,,,,,
Ice Cream & Frozen Yogurt,2326,,,,,,,,,,,,,,,,,,,,,,,,
Japanese,2304,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Wings,2257,,,,,,,,,,,,,,,,,,,,,,,,
Seafood,2154,,,,,,,,,,,,,,,,,,,,,,,,
Salad,2070,,,,,,,,,,,,,,,,,,,,,,,,
Sushi Bars,1943,,,,,,,,,,,,,,,,,,,,,,,,
Beer,1766,,,,,,,,,,,,,,,,,,,,,,,,
Delis,1668,___,,,,,,,,,,,,,,,,,,,,,,,
Asian Fusion,1658,,,,,,,,,,,,,,,,,,,,,,,,
Mediterranean,1593,,,,,,,,,,,,,,,,,,,,,,,,
Barbeque,1534,,,,,,,,,,,,,,,,,,,,,,,,
Canadian (New),1468,,,,,,,,,,,,,,,,,,,,,,,,
Steakhouses,1410,,,,,,,,,,,,,,,,,,,,,,,,
Lounges,1408,,,,,,,,,,,,,,,,,,,,,,,,
Indian,1368,,,,,,,,,,,,,,,,,,,,,,,,
Thai,1355,,,,,,,,,,,,,,,,,,,,,,,,
Juice Bars & Smoothies,1346,,,,,,,,,,,,,,,,,,,,,,,,
Medical Centers,1344,,,,,,,,,,,,,,,,,,,,,,,,
Diners,1219,,,,,,,,,,,,,,,,,,,,,,,,
Wine Bars,1075,,,,,,,,,,,,,,,,,,,,,,,,
Middle Eastern,1029,,,,,,,,,,,,,,,,,,,,,,,,
Cocktail Bars,1023,,,,,,,,,,,,,,,,,,,,,,,,
Greek,1004,,,,,,,,,,,,,,,,,,,,,,,,
French,1003,,,,,,,,,,,,,,,,,,,,,,,,
Medical Spas,999,,,,,,,,,,,,,,,,,,,,,,,,
Eyewear & Opticians,988,,,,,,,,,,,,,,,,,,,,,,,,
Vietnamese,987,,,,,,,,,,,,,,,,,,,,,,,,
Vegetarian,961,,,,,,,,,,,,,,,,,,,,,,,,
Local Flavor,862,,,,,,,,,,,,,,,,,,,,,,,,
Ethnic Food,782,,,,,,,,,,,,,,,,,,,,,,,,
Buffets,778,,,,,,,,,,,,,,,,,,,,,,,,
Korean,751,,,,,,,,,,,,,,,,,,,,,,,,
Soup,712,,,,,,,,,,,,,,,,,,,,,,,,
Food Trucks,697,,,,,,,,,,,,,,,,,,,,,,,,
Gluten-Free,681,,,,,,,,,,,,,,,,,,,,,,,,
Vegan,668,,,,,,,,,,,,,,,,,,,,,,,,
Tex-Mex,668,_______,,,,,,,,,,,,,,,,,,,,,,,
Comfort Food,661,,,,,,,,,,,,,,,,,,,,,,,,
Donuts,652,,,,,,,,,,,,,,,,,,,,,,,,
Hot Dogs,648,,,,,,,,,,,,,,,,,,,,,,,,
Acupuncture,613,___,,,,,,,,,,,,,,,,,,,,,,,
Bagels,558,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean,552,___,,,,,,,,,,,,,,,,,,,,,,,
Gastropubs,532,__,,,,,,,,,,,,,,,,,,,,,,,
German,514,,,,,,,,,,,,,,,,,,,,,,,,
Latin American,502,,,,,,,,,,,,,,,,,,,,,,,,
Breweries,464,,,,,,,,,,,,,,,,,,,,,,,,
Meat Shops,455,,,,,,,,,,,,,,,,,,,,,,,,
Halal,444,__,,,,,,,,,,,,,,,,,,,,,,,
Southern,413,,,,,,,,,,,,,,,,,,,,,,,,
Tapas/Small Plates,396,,,,,,,,,,,,,,,,,,,,,,,,
Tea Rooms,392,,,,,,,,,,,,,,,,,,,,,,,,
Pakistani,373,____,,,,,,,,,,,,,,,,,,,,,,,
Fruits & Veggies,360,,,,,,,,,,,,,,,,,,,,,,,,
British,357,,,,,,,,,,,,,,,,,,,,,,,,
Farmers Market,347,,,,,,,,,,,,,,,,,,,,,,,,
Fish & Chips,337,,,,,,,,,,,,,,,,,,,,,,,,
Noodles,328,,,,,,,,,,,,,,,,,,,,,,,,
Tapas Bars,323,,,,,,,,,,,,,,,,,,,,,,,,
Beer Bar,315,,,,,,,,,,,,,,,,,,,,,,,,
Bubble Tea,291,,,,,,,,,,,,,,,,,,,,,,,,
Cupcakes,280,,,,,,,,,,,,,,,,,,,,,,,,
Food Stands,277,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,269,,,,,,,,,,,,,,,,,,,,,,,,
Soul Food,261,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Shop,257,,,,,,,,,,,,,,,,,,,,,,,,
Dim Sum,244,,,,,,,,,,,,,,,,,,,,,,,,
Cajun/Creole,243,,,,,,,,,,,,,,,,,,,,,,,,
Portuguese,235,,,,,,,,,,,,,,,,,,,,,,,,
Modern European,228,,,,,,,,,,,,,,,,,,,,,,,,
Creperies,220,___,,,,,,,,,,,,,,,,,,,,,,,
Shaved Ice,205,,,,,,,,,,,,,,,,,,,,,,,,
Seafood Markets,203,,,,,,,,,,,,,,,,,,,,,,,,
Swabian,200,___,,,,,,,,,,,,,,,,,,,,,,,
Spanish,192,,,,,,,,,,,,,,,,,,,,,,,,
Filipino,183,___,,,,,,,,,,,,,,,,,,,,,,,
Cheesesteaks,182,,,,,,,,,,,,,,,,,,,,,,,,
Irish,180,,,,,,,,,,,,,,,,,,,,,,,,
Turkish,180,,,,,,,,,,,,,,,,,,,,,,,,
Patisserie/Cake Shop,179,,,,,,,,,,,,,,,,,,,,,,,,
Lebanese,177,___,,,,,,,,,,,,,,,,,,,,,,,
Cheese Shops,175,,,,,,,,,,,,,,,,,,,,,,,,
Taiwanese,174,,,,,,,,,,,,,,,,,,,,,,,,
Custom Cakes,170,,,,,,,,,,,,,,,,,,,,,,,,
Gay Bars,169,__love it,,,,,,,,,,,,,,,,,,,,,,,
Ramen,167,,,,,,,,,,,,,,,,,,,,,,,,
Delicatessen,163,,,,,,,,,,,,,,,,,,,,,,,,
Persian/Iranian,163,,,,,,,,,,,,,,,,,,,,,,,,
Bistros,161,___,,,,,,,,,,,,,,,,,,,,,,,
Tacos,151,,,,,,,,,,,,,,,,,,,,,,,,
Brasseries,148,___,,,,,,,,,,,,,,,,,,,,,,,
Do-It-Yourself Food,147,,,,,,,,,,,,,,,,,,,,,,,,
Food Court,144,,,,,,,,,,,,,,,,,,,,,,,,
African,142,,,,,,,,,,,,,,,,,,,,,,,,
Poutineries,132,,,,,,,,,,,,,,,,,,,,,,,,
International,116,,,,,,,,,,,,,,,,,,,,,,,,
Gelato,112,,,,,,,,,,,,,,,,,,,,,,,,
Kosher,111,____,,,,,,,,,,,,,,,,,,,,,,,
Coffee Roasteries,106,,,,,,,,,,,,,,,,,,,,,,,,
Falafel,104,_____,,,,,,,,,,,,,,,,,,,,,,,
Poke,101,,,,,,,,,,,,,,,,,,,,,,,,
Afghan,100,,,,,,,,,,,,,,,,,,,,,,,,
Pan Asian,99,,,,,,,,,,,,,,,,,,,,,,,,
Peruvian,98,,,,,,,,,,,,,,,,,,,,,,,,
Waffles,89,,,,,,,,,,,,,,,,,,,,,,,,
Hot Pot,88,,,,,,,,,,,,,,,,,,,,,,,,
Szechuan,86,,,,,,,,,,,,,,,,,,,,,,,,
Brazilian,79,,,,,,,,,,,,,,,,,,,,,,,,
Cantonese,77,,,,,,,,,,,,,,,,,,,,,,,,
Personal Chefs,77,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopian,75,,,,,,,,,,,,,,,,,,,,,,,,
Pretzels,74,,,,,,,,,,,,,,,,,,,,,,,,
Cuban,71,,,,,,,,,,,,,,,,,,,,,,,,
Malaysian,65,,,,,,,,,,,,,,,,,,,,,,,,
Live/Raw Food,64,,,,,,,,,,,,,,,,,,,,,,,,
Salvadoran,62,,,,,,,,,,,,,,,,,,,,,,,,
Moroccan,62,,,,,,,,,,,,,,,,,,,,,,,,
Arabian,60,,,,,,,,,,,,,,,,,,,,,,,,
Russian,55,,,,,,,,,,,,,,,,,,,,,,,,
Macarons,53,,,,,,,,,,,,,,,,,,,,,,,,
Acai Bowls,51,,,,,,,,,,,,,,,,,,,,,,,,
Himalayan/Nepalese,50,,,,,,,,,,,,,,,,,,,,,,,,
Popcorn Shops,47,,,,,,,,,,,,,,,,,,,,,,,,
Belgian,46,,,,,,,,,,,,,,,,,,,,,,,,
Argentine,46,,,,,,,,,,,,,,,,,,,,,,,,
Cafeteria,45,,,,,,,,,,,,,,,,,,,,,,,,
Mongolian,43,,,,,,,,,,,,,,,,,,,,,,,,
Whiskey Bars,42,,,,,,,,,,,,,,,,,,,,,,,,
Colombian,40,,,,,,,,,,,,,,,,,,,,,,,,
Coffee & Tea Supplies,38,,,,,,,,,,,,,,,,,,,,,,,,
Cambodian,37,,,,,,,,,,,,,,,,,,,,,,,,
Beverage Store,36,,,,,,,,,,,,,,,,,,,,,,,,
New Mexican Cuisine,34,,,,,,,,,,,,,,,,,,,,,,,,
Brazilian Jiu-jitsu,34,,,,,,,,,,,,,,,,,,,,,,,,
Wine Tasting Room,31,,,,,,,,,,,,,,,,,,,,,,,,
Wine Tours,29,,,,,,,,,,,,,,,,,,,,,,,,
Hungarian,28,,,,,,,,,,,,,,,,,,,,,,,,
Basque,28,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lankan,28,,,,,,,,,,,,,,,,,,,,,,,,
First Aid Classes,27,,,,,,,,,,,,,,,,,,,,,,,,
Champagne Bars,25,,,,,,,,,,,,,,,,,,,,,,,,
Hakka,24,,,,,,,,,,,,,,,,,,,,,,,,
Venezuelan,24,,,,,,,,,,,,,,,,,,,,,,,,
Teppanyaki,24,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,24,,,,,,,,,,,,,,,,,,,,,,,,
Brewing Supplies,24,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rican,21,,,,,,,,,,,,,,,,,,,,,,,,
Bangladeshi,20,,,,,,,,,,,,,,,,,,,,,,,,
Singaporean,20,,,,,,,,,,,,,,,,,,,,,,,,
Ukrainian,19,,,,,,,,,,,,,,,,,,,,,,,,
Coffeeshops,18,,,,,,,,,,,,,,,,,,,,,,,,
Muay Thai,17,,,,,,,,,,,,,,,,,,,,,,,,
South African,17,,,,,,,,,,,,,,,,,,,,,,,,
Dominican,16,,,,,,,,,,,,,,,,,,,,,,,,
Serbo Croatian,16,,,,,,,,,,,,,,,,,,,,,,,,
Scandinavian,14,,,,,,,,,,,,,,,,,,,,,,,,
Laotian,14,,,,,,,,,,,,,,,,,,,,,,,,
Curry Sausage,13,,,,,,,,,,,,,,,,,,,,,,,,
Austrian,13,,,,,,,,,,,,,,,,,,,,,,,,
Bavarian,13,,,,,,,,,,,,,,,,,,,,,,,,
Egyptian,12,,,,,,,,,,,,,,,,,,,,,,,,
Beer Tours,12,,,,,,,,,,,,,,,,,,,,,,,,
Burmese,11,___,,,,,,,,,,,,,,,,,,,,,,,
Izakaya,10,___,,,,,,,,,,,,,,,,,,,,,,,
Haitian,9,,,,,,,,,,,,,,,,,,,,,,,,
Australian,9,,,,,,,,,,,,,,,,,,,,,,,,
Shanghainese,9,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,8,,,,,,,,,,,,,,,,,,,,,,,,
Czech,6,,,,,,,,,,,,,,,,,,,,,,,,
Syrian,5,,,,,,,,,,,,,,,,,,,,,,,,
Trinidadian,4,________,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,4,_______,,,,,,,,,,,,,,,,,,,,,,,
Iberian,4,____,,,,,,,,,,,,,,,,,,,,,,,
Honduran,4,____,,,,,,,,,,,,,,,,,,,,,,,
Slovakian,3,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Food,3,,,,,,,,,,,,,,,,,,,,,,,,
Uzbek,3,______,,,,,,,,,,,,,,,,,,,,,,,
Kombucha,3,_____,,,,,,,,,,,,,,,,,,,,,,,
Themed Cafes,3,,,,,,,,,,,,,,,,,,,,,,,,
Baden,3,____,,,,,,,,,,,,,,,,,,,,,,,
Eastern European,3,,,,,,,,,,,,,,,,,,,,,,,,
Nicaraguan,2,____,,,,,,,,,,,,,,,,,,,,,,,
Pita,2,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Curry,2,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,2,_______,,,,,,,,,,,,,,,,,,,,,,,
Schnitzel,2,_____,,,,,,,,,,,,,,,,,,,,,,,
Udon,1,___,,,,,,,,,,,,,,,,,,,,,,,
Traditional Norwegian,1,,,,,,,,,,,,,,,,,,,,,,,,
Tonkatsu,1,___,,,,,,,,,,,,,,,,,,,,,,,
Senegalese,1,____,,,,,,,,,,,,,,,,,,,,,,,
Conveyor Belt Sushi,1,,,,,,,,,,,,,,,,,,,,,,,,
Baguettes,1,__,,,,,,,,,,,,,,,,,,,,,,,
Parent Cafes,1,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong Style Cafe,1,,,,,,,,,,,,,,,,,,,,,,,,
Eastern German,1,,,,,,,,,,,,,,,,,,,,,,,,
Sicilian,1,_____,,,,,,,,,,,,,,,,,,,,,,,
Hainan,1,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarian,1,,,,,,,,,,,,,,,,,,,,,,,,
Czech/Slovakian,1,,,,,,,,,,,,,,,,,,,,,,,,
Guamanian,1,__,,,,,,,,,,,,,,,,,,,,,,,
Alsatian,1,______,,,,,,,,,,,,,,,,,,,,,,,
Friterie,1,___,,,,,,,,,,,,,,,,,,,,,,,
Georgian,1,,,,,,,,,,,,,,,,,,,,,,,,
Churros,1,_____,,,,,,,,,,,,,,,,,,,,,,,
Rotisserie Chicken,1,___,,,,,,,,,,,,,,,,,,,,,,,
Soba,1,_____,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
